INDEX,AGE,WORKCLASS,FNLWGT,EDUCATION,EDUCATION_NUM,MARITAL_STATUS,OCCUPATION,RELATIONSHIP,RACE,SEX,CAPITAL_GAIN,CAPITAL_LOSS,HOURS_PER_WEEK,NATIVE_COUNTRY,INCOME
46,25,0,267426,0,9,1,7,4,0,0,0,0,40,0,0
47,68,2,229016,0,9,1,2,1,0,1,0,0,25,0,0
48,54,0,46401,6,10,2,4,2,0,1,0,0,47,0,0
49,32,0,114288,0,9,2,3,0,0,1,0,0,40,0,0
50,61,2,203849,6,10,2,2,2,0,1,0,0,40,0,0
51,41,6,193882,0,9,0,0,0,0,0,0,0,40,0,0
52,53,0,311269,0,9,2,4,2,0,1,0,0,40,0,0
53,45,0,156117,8,11,2,3,2,0,1,0,0,32,0,0
54,64,2,169917,9,4,4,2,2,0,1,0,0,4,0,0
55,51,0,222615,0,9,1,6,4,0,0,0,0,40,0,1
56,41,3,106900,4,14,1,3,4,0,0,7298,0,60,0,1
57,40,6,78036,8,11,1,3,1,0,1,0,0,65,0,1
58,27,0,380560,0,9,0,10,5,0,0,0,0,40,1,0
59,41,0,167106,1,13,1,0,4,4,0,3103,0,35,3,1
60,51,0,289436,1,13,1,1,4,0,0,0,0,60,0,1
61,36,0,749636,6,10,2,0,3,0,1,0,0,40,0,0
62,34,1,154120,0,9,0,10,0,0,0,0,0,55,0,0
63,43,0,105119,0,9,1,0,4,0,0,0,0,40,0,0
64,61,6,181081,0,9,2,0,0,1,1,0,0,20,0,0
65,31,0,182237,7,6,3,11,3,0,0,0,0,40,0,0
66,34,0,102130,0,9,1,8,4,0,0,0,0,65,0,1
67,43,0,266324,0,9,1,2,4,0,0,0,1902,99,0,1
68,52,0,170562,10,8,1,2,4,0,0,0,0,40,0,0
69,18,0,240543,11,7,0,4,0,0,1,0,0,20,0,0
70,37,6,187046,6,10,1,3,4,0,0,0,0,40,0,1
71,60,0,389254,0,9,1,0,4,0,0,0,0,40,0,0
72,47,0,179955,6,10,4,11,3,0,1,0,0,25,4,0
73,21,0,197997,6,10,0,0,0,0,0,0,0,30,0,0
74,34,1,343789,1,13,1,1,4,0,0,7688,0,55,0,1
75,28,0,191088,0,9,2,4,2,0,1,0,1741,52,0,0
76,40,4,141649,8,11,1,9,4,0,0,0,0,40,0,1
77,26,0,433906,3,12,0,4,2,0,0,0,0,40,0,0
78,48,0,207982,6,10,0,4,3,1,1,0,0,40,0,0
79,46,0,175925,6,10,1,10,4,0,0,0,0,40,0,0
80,58,0,85767,6,10,1,8,4,0,0,0,0,48,0,0
81,32,1,281030,0,9,0,2,2,0,0,0,0,40,0,0
82,90,2,313986,0,9,1,2,4,0,0,0,0,40,0,1
83,38,0,396595,6,10,1,2,4,4,0,0,0,40,0,1
84,20,2,189203,3,12,0,2,2,0,0,0,0,20,0,0
85,43,5,163108,6,10,1,10,4,0,0,0,0,99,0,0
86,17,0,141590,11,7,0,12,0,0,1,0,0,12,0,0
87,36,0,137421,10,8,0,11,2,4,0,0,0,45,2,0
88,36,0,67728,0,9,1,2,4,0,0,5013,0,40,5,0
89,30,0,345522,0,9,1,11,4,0,0,3103,0,70,0,1
90,45,0,330087,0,9,1,2,4,0,0,0,0,40,0,0
91,51,5,204322,0,9,1,11,4,0,0,0,0,50,0,0
92,29,0,50295,6,10,1,1,4,0,0,0,0,48,0,0
93,35,5,147258,8,11,0,10,0,0,0,0,0,65,0,0
94,19,0,194260,6,10,0,8,0,0,1,0,0,20,0,0
95,56,0,437727,12,5,1,8,4,0,0,0,0,40,0,0
96,64,2,34100,6,10,4,2,2,0,0,0,0,4,0,0
97,62,2,186611,0,9,0,2,2,0,0,0,0,40,0,0
98,24,0,280960,0,9,1,6,1,0,1,0,0,24,0,0
99,33,0,33117,3,12,1,9,4,0,0,0,0,40,0,0
100,43,0,169628,1,13,0,8,3,1,1,0,0,35,0,1
101,22,3,124942,6,10,0,4,0,0,0,0,0,45,0,0
102,44,0,143368,6,10,0,4,2,1,0,0,0,55,0,0
103,37,0,255621,0,9,3,2,2,0,0,0,0,50,0,0
104,34,1,154227,6,10,0,8,2,0,0,0,0,75,0,0
105,43,0,171438,8,11,3,8,3,0,1,0,0,45,0,0
106,39,0,191524,0,9,2,0,3,0,1,0,0,40,0,0
107,30,0,377017,6,10,1,7,4,0,0,0,0,32,0,0
108,58,0,192806,9,4,0,7,2,0,1,0,0,33,0,0
109,31,2,259120,6,10,1,2,1,0,1,0,0,10,0,0
110,45,4,234195,0,9,2,0,3,0,1,0,0,35,0,0
111,30,0,147596,6,10,2,0,3,1,1,0,0,40,0,0
112,42,0,147251,6,10,1,3,1,0,1,0,0,36,0,0
113,50,0,176157,4,14,1,1,4,0,0,0,0,50,0,1
114,25,4,176162,8,11,0,9,0,0,0,0,0,30,0,0
115,34,0,384150,1,13,1,1,4,0,0,0,0,40,0,1
116,50,0,107665,6,10,1,8,4,0,0,0,0,40,0,1
117,72,2,82635,11,7,1,2,4,0,0,0,0,40,0,0
118,60,3,165827,2,16,1,3,4,0,0,0,0,55,0,0
119,41,0,287306,3,12,1,3,4,0,0,15024,0,60,0,1
120,71,5,78786,9,4,1,10,4,0,0,0,0,10,0,0
121,40,5,33310,5,15,2,4,2,0,1,0,2339,35,0,0
122,22,0,349368,1,13,0,1,0,0,1,0,0,30,0,0
123,52,0,117674,1,13,0,3,2,0,0,0,0,38,0,0
124,30,0,310889,6,10,0,7,2,0,0,0,0,55,0,0
125,36,2,187167,0,9,3,2,2,0,1,0,0,30,0,0
126,40,0,379919,6,10,1,6,4,0,0,0,0,40,0,0
127,31,6,34862,3,12,1,8,4,4,0,0,0,40,0,0
128,44,0,201723,1,13,1,1,4,0,0,15024,0,45,0,1
129,38,4,161463,5,15,1,3,4,1,0,0,0,40,0,1
130,46,0,186410,5,15,0,1,2,0,0,0,0,50,0,1
131,57,6,62020,5,15,2,1,2,1,0,0,0,55,0,1
132,39,0,42044,11,7,1,11,4,0,0,0,0,40,0,0
133,42,0,170230,1,13,2,1,2,0,1,0,0,55,0,1
134,43,0,341358,8,11,1,8,4,0,0,0,0,40,0,1
135,22,0,199426,6,10,0,8,2,0,1,0,0,17,0,0
136,44,0,89172,1,13,1,2,4,0,0,0,0,50,0,1
137,22,2,148955,6,10,0,2,0,4,1,0,0,15,6,0
138,37,0,140673,6,10,1,8,1,0,1,0,0,40,0,1
139,20,2,71788,6,10,0,2,0,0,1,0,0,18,0,0
140,26,3,326033,1,13,0,0,2,0,1,0,0,80,0,0
141,35,0,129305,0,9,0,4,2,0,0,0,0,30,0,0
142,28,0,171067,0,9,0,7,0,0,1,0,0,40,0,0
143,34,0,143582,6,10,0,0,2,4,1,0,0,35,7,0
144,17,2,171461,7,6,0,2,0,0,1,0,0,20,0,0
145,18,0,257980,0,9,0,6,2,0,0,0,0,40,0,0
146,25,0,182866,0,9,0,6,0,0,0,0,0,40,0,0
147,44,1,69333,1,13,1,2,4,0,0,0,0,50,0,1
148,61,0,668362,13,2,4,7,2,0,1,0,0,40,0,0
149,39,0,132879,6,10,1,1,4,0,0,0,0,50,0,1
150,61,0,181219,1,13,1,3,4,0,0,0,1848,40,0,1
151,19,2,166018,6,10,0,2,0,0,1,0,0,40,0,0
152,22,0,120518,0,9,4,0,0,0,1,0,0,40,0,0
153,19,0,183532,6,10,0,7,0,0,0,0,0,25,0,0
154,45,0,49298,1,13,0,5,0,0,0,0,0,40,0,0
155,20,0,157332,6,10,0,0,0,0,1,0,0,25,0,0
156,37,0,213726,0,9,2,6,2,4,1,0,0,40,3,0
157,26,0,31143,6,10,0,2,2,0,0,0,0,40,0,0
158,17,2,256173,7,6,0,2,0,0,1,0,0,15,0,0
159,26,0,184872,1,13,1,1,1,0,1,0,0,55,0,1
160,58,0,202652,0,9,3,4,3,0,1,0,0,40,8,0
161,61,2,101602,2,16,1,2,4,0,0,0,0,25,0,1
162,64,0,60940,0,9,4,8,2,0,1,8614,0,50,9,1
163,19,0,292590,0,9,1,8,5,0,1,0,0,25,0,0
164,36,0,141420,1,13,2,7,2,0,0,0,0,30,0,0
165,47,0,159389,3,12,0,0,2,0,1,0,0,40,0,0
166,62,0,254534,6,10,1,8,4,0,0,0,0,40,0,0
167,36,3,89508,5,15,0,3,2,0,0,0,0,40,0,0
168,38,5,238980,6,10,0,8,2,0,0,0,0,60,0,0
169,54,0,178946,0,9,1,2,4,0,0,0,0,48,0,1
170,31,0,204752,1,13,0,1,2,0,0,0,0,50,0,0
171,26,0,290213,6,10,3,10,0,0,0,0,0,40,0,0
172,50,0,102615,0,9,1,1,4,0,0,0,1902,40,0,1
173,41,0,291965,6,10,0,5,3,4,1,0,0,40,3,0
174,52,4,175339,1,13,1,9,4,0,0,0,0,40,0,1
175,28,0,90547,0,9,1,4,1,1,1,0,0,23,0,0
176,23,2,449101,0,9,1,2,0,0,1,0,0,30,0,0
177,46,5,101722,6,10,1,1,4,0,0,3137,0,40,0,0
178,32,2,981628,0,9,2,2,3,1,0,0,0,40,0,0
179,59,2,147989,0,9,4,2,2,0,1,0,0,35,0,0
180,30,1,204470,6,10,1,1,4,0,0,0,0,36,0,1
181,58,4,311409,4,14,1,3,4,1,0,7688,0,30,0,1
182,31,0,190027,0,9,0,4,5,1,1,0,0,40,2,0
183,36,0,218015,6,10,1,6,4,0,0,0,0,48,0,0
184,31,3,77634,14,1,0,4,2,0,0,0,0,24,0,0
185,52,5,42984,5,15,1,3,4,0,0,0,0,70,0,1
186,29,0,413297,6,10,1,1,4,0,0,3411,0,70,1,0
187,48,5,218835,4,14,1,8,4,0,0,0,0,50,10,0
188,30,0,341051,4,14,1,1,4,0,0,15024,0,60,0,1
189,58,0,252419,11,7,1,11,4,0,0,0,0,50,0,0
190,20,6,347935,6,10,0,9,0,1,0,0,0,40,0,0
191,19,0,237848,6,10,0,4,0,0,0,0,0,3,0,0
192,63,0,174826,0,9,2,4,2,0,1,0,0,40,0,0
193,51,5,170086,1,13,1,5,4,0,0,0,0,45,0,1
194,53,0,470368,3,12,2,0,3,0,1,0,0,48,0,0
195,54,6,75235,0,9,1,1,4,0,0,5178,0,40,0,1
196,35,2,35854,6,10,0,2,0,0,1,0,0,40,0,0
197,26,0,746432,0,9,0,7,0,1,0,0,0,48,0,0
198,47,5,258498,6,10,1,4,1,0,1,0,0,52,0,0
199,44,0,176063,1,13,1,1,4,0,0,0,0,45,0,0
200,80,5,26865,9,4,0,10,3,0,0,0,0,20,0,0
201,55,0,104724,2,16,1,3,4,0,0,0,0,40,0,1
202,43,0,346321,4,14,1,3,4,0,0,0,0,45,0,1
203,49,0,402462,1,13,5,11,3,0,0,0,0,30,11,0
204,27,0,153078,5,15,0,3,0,4,0,0,0,40,0,0
205,42,0,176063,8,11,1,1,4,0,0,15024,0,55,0,1
206,39,0,451059,12,5,1,7,4,0,0,0,0,40,0,0
207,36,2,229533,0,9,1,2,4,0,0,0,0,40,0,0
208,32,0,106437,0,9,3,0,3,0,1,0,0,40,0,0
209,58,4,294313,6,10,1,0,1,1,1,0,0,55,0,0
210,63,0,67903,12,5,3,10,2,1,0,0,0,40,0,0
211,49,0,133669,6,10,1,0,4,0,0,0,0,40,0,1
212,36,1,251730,6,10,1,9,4,0,0,0,0,60,0,1
213,46,0,72896,6,10,1,1,4,0,0,0,0,50,0,0
214,47,0,155664,4,14,1,1,4,0,0,99999,0,55,0,1
215,39,0,206520,0,9,0,0,2,0,0,0,0,45,0,0
216,33,0,72338,5,15,1,1,4,4,0,0,0,65,7,1
217,43,4,34640,0,9,1,1,4,2,0,0,1887,40,0,1
218,30,0,236543,6,10,1,3,4,0,0,0,0,68,0,0
219,39,4,43702,8,11,1,0,1,0,1,0,0,37,0,0
220,44,0,335248,6,10,2,0,2,0,1,0,0,40,0,0
221,27,0,198197,1,13,0,5,2,0,0,0,0,45,0,0
222,80,2,281768,3,12,1,2,4,0,0,0,0,4,0,0
223,31,0,160594,3,12,0,3,0,0,0,0,0,3,0,0
224,34,4,231826,0,9,1,3,4,0,0,0,0,40,12,0
225,28,0,188171,3,12,0,11,0,0,0,0,0,60,0,0
226,55,0,125000,0,9,1,6,4,0,0,0,0,40,0,1
227,36,0,166509,0,9,2,2,2,0,1,0,0,40,0,0
228,42,0,402367,6,10,1,11,4,1,0,7688,0,45,0,1
229,67,4,204123,1,13,1,3,4,0,0,0,0,10,0,0
230,53,1,220786,6,10,4,8,2,0,1,0,0,60,0,0
231,43,0,254146,6,10,1,2,4,0,0,0,1902,40,0,1
232,29,4,152461,1,13,0,5,2,0,1,0,0,42,0,0
233,19,0,223669,6,10,0,4,0,0,0,0,0,30,0,0
234,51,0,120270,8,11,1,8,4,0,0,0,0,40,0,1
235,21,5,304602,8,11,0,10,0,0,0,0,0,98,0,0
236,54,0,24108,6,10,3,1,2,0,1,0,0,40,0,0
237,42,5,32546,5,15,2,3,3,0,0,7430,0,40,0,1
238,41,0,93885,6,10,2,8,3,0,1,0,0,48,0,0
239,28,0,210765,0,9,0,2,0,0,0,0,0,40,0,0
240,31,0,191276,8,11,2,7,3,0,1,0,0,40,0,0
241,82,5,71438,0,9,1,10,4,0,0,0,0,20,0,0
242,23,0,330571,1,13,0,3,2,0,1,0,0,16,0,0
243,40,4,138634,0,9,1,1,4,0,0,0,0,40,0,0
244,35,0,112264,0,9,1,8,4,0,0,0,0,50,0,0
245,24,0,205865,0,9,0,8,3,0,0,0,0,45,0,0
246,21,0,224640,6,10,0,8,0,0,1,0,0,40,0,0
247,27,0,180758,6,10,1,7,4,0,0,0,0,30,0,0
248,29,2,499935,8,11,0,2,3,0,1,0,0,40,0,0
249,40,5,107762,1,13,1,1,4,0,0,0,0,45,0,0
250,17,0,214787,10,8,0,0,0,0,1,0,0,25,0,0
251,27,0,211032,13,2,0,2,2,0,0,0,0,40,1,0
252,34,0,208353,0,9,0,6,0,0,0,0,0,40,0,0
253,18,0,157273,7,6,0,4,5,1,0,0,0,15,0,0
254,39,0,75891,1,13,2,5,3,0,1,0,0,40,0,0
255,34,1,177675,6,10,1,1,4,0,0,0,0,65,0,1
256,44,0,182370,0,9,1,2,4,0,0,0,0,40,0,0
257,18,2,200525,11,7,0,2,0,0,1,0,0,25,0,0
258,39,0,174242,1,13,1,1,4,0,0,15024,0,60,0,1
259,28,0,95566,13,2,5,4,0,2,1,0,0,35,8,0
260,30,0,30290,0,9,0,6,2,0,1,0,0,40,0,0
261,60,0,240951,0,9,2,0,5,0,1,0,0,40,0,0
262,58,0,183810,0,9,1,4,4,0,0,0,0,24,0,0
263,49,0,94342,1,13,1,2,4,0,0,0,0,60,0,0
264,61,1,148577,0,9,1,8,4,0,0,0,0,55,0,1
265,27,0,103634,0,9,2,0,2,0,0,0,0,38,0,0
266,59,5,83542,3,12,2,5,2,0,0,0,0,40,0,0
267,52,6,76131,6,10,1,1,1,4,1,0,0,40,0,1
268,42,6,262402,1,13,0,1,2,0,1,0,0,40,0,0
269,27,0,198286,6,10,0,4,2,0,1,0,0,34,0,0
270,41,1,145441,4,14,1,1,4,0,0,0,0,50,0,1
271,35,2,273558,6,10,0,2,2,1,0,0,0,30,0,0
272,50,4,117496,1,13,1,3,1,0,1,0,0,24,0,0
273,36,0,128876,7,6,1,2,4,0,0,0,0,40,0,0
274,21,0,199698,0,9,0,10,0,0,0,0,0,45,0,0
275,38,0,65390,3,12,1,2,4,0,0,0,0,45,0,0
276,46,0,128645,6,10,2,3,2,0,1,0,0,40,0,0
277,59,0,53481,6,10,1,8,4,0,0,0,0,50,0,0
278,55,0,92215,0,9,0,0,2,0,1,0,0,45,0,0
279,49,4,78859,4,14,4,3,3,0,1,0,323,20,0,0
280,59,1,187502,6,10,1,2,4,0,0,0,0,50,0,1
281,38,0,242080,6,10,1,8,4,0,0,0,0,55,0,1
282,22,0,41837,6,10,0,11,0,0,0,0,0,25,0,0
283,28,0,291374,10,8,0,8,3,1,1,0,0,40,0,0
284,47,0,148995,1,13,1,1,4,0,0,0,2415,60,0,1
285,59,0,159008,6,10,1,9,4,0,0,0,0,56,0,0
286,37,0,271013,0,9,2,7,2,0,0,0,0,40,0,0
287,33,0,199046,1,13,0,8,2,0,1,0,0,40,0,0
288,34,0,164280,7,6,1,7,4,0,0,0,0,40,13,0
289,35,4,116960,4,14,1,3,4,0,0,0,1887,40,0,1
290,55,0,100054,7,6,0,4,2,0,0,0,0,40,0,0
291,18,0,183824,10,8,0,4,0,0,0,0,0,30,0,0
292,48,0,313925,3,12,1,3,1,0,1,0,0,30,0,1
293,48,0,379883,4,14,1,3,4,0,0,0,0,40,14,1
294,70,2,92593,6,10,4,2,2,0,1,0,0,25,0,0
295,27,0,189777,0,9,1,2,4,0,0,0,0,40,0,0
296,43,0,198330,4,14,4,3,3,1,1,0,0,37,0,0
297,32,0,127451,6,10,1,3,4,0,0,0,0,38,0,1
298,62,2,31577,0,9,1,2,4,0,0,0,0,18,0,0
299,18,2,90230,0,9,0,2,0,0,0,0,0,20,0,0
300,50,0,301024,1,13,3,8,2,0,0,0,0,40,0,1
301,38,5,175732,0,9,0,2,2,3,0,0,0,15,0,0
302,18,0,218889,12,5,0,4,0,1,0,0,0,35,0,0
303,46,0,117605,12,5,2,8,2,0,0,0,0,35,0,0
304,26,0,154571,6,10,0,6,2,4,0,0,0,45,0,1
305,44,0,228057,9,4,1,6,1,0,1,0,0,40,8,0
306,32,0,173998,6,10,0,0,2,0,1,0,0,60,0,0
307,25,0,90752,1,13,1,0,1,0,1,0,0,40,0,0
308,55,0,51008,0,9,2,0,3,0,1,0,0,40,0,0
309,55,6,113398,6,10,0,0,3,0,0,0,0,40,0,0
310,25,0,74977,6,10,1,0,1,0,1,0,0,40,0,0
311,40,0,101593,1,13,1,3,4,0,0,0,0,50,0,0
312,29,0,228346,8,11,0,2,2,0,0,0,0,50,0,0
313,60,0,180418,11,7,1,2,4,0,0,0,0,40,0,0
314,45,0,44489,0,9,1,11,4,0,0,0,0,45,0,0
315,43,5,277488,0,9,1,10,4,0,0,0,0,30,0,0
316,24,0,103064,0,9,0,8,0,0,1,0,0,55,0,0
317,34,0,226872,1,13,2,8,2,0,1,0,0,40,0,0
318,47,5,330416,6,10,0,10,2,0,0,0,0,60,0,0
319,24,0,186495,0,9,2,0,2,0,1,0,0,32,0,0
320,47,3,205712,6,10,1,4,4,0,0,0,0,38,0,0
321,18,0,217743,11,7,0,8,0,0,1,0,0,40,0,0
322,50,1,52565,6,10,1,8,4,0,0,0,1485,40,0,0
323,22,0,239954,6,10,0,0,5,0,0,0,0,40,0,0
324,49,5,349986,1,13,1,3,4,0,0,0,0,60,0,1
325,41,0,117585,0,9,1,1,4,0,0,0,1485,40,0,1
326,68,5,122094,0,9,1,2,4,0,0,0,0,15,0,0
327,62,5,26857,9,4,4,10,5,0,1,0,0,35,0,0
328,25,4,192321,1,13,0,3,0,0,1,0,0,40,0,0
329,24,0,88095,6,10,0,6,2,0,1,0,0,24,1,0
330,44,0,144067,1,13,2,0,2,0,0,0,0,12,2,0
331,32,0,124187,12,5,1,10,4,1,0,0,0,40,0,0
332,49,0,123681,4,14,1,3,4,0,0,0,0,43,0,1
333,68,0,145638,6,10,2,8,2,0,1,0,0,40,0,0
334,25,0,130513,3,12,0,8,0,0,1,0,0,40,15,0
335,47,6,197038,1,13,1,3,4,0,0,0,0,50,0,0
336,35,0,189092,1,13,1,1,4,0,0,0,0,40,0,1
337,37,5,198841,11,7,1,11,4,0,0,0,0,40,0,0
338,57,0,317969,0,9,1,1,4,0,0,0,0,50,0,0
339,37,0,103121,1,13,1,1,1,0,1,0,1848,40,0,1
340,34,0,111589,7,6,0,4,3,1,1,0,0,40,16,0
341,46,4,267952,8,11,2,1,2,0,1,0,0,36,0,0
342,21,0,63899,11,7,0,0,5,0,1,0,0,40,0,0
343,26,0,473625,0,9,1,4,1,0,1,0,0,30,0,0
344,45,0,187901,0,9,2,10,2,0,0,0,2258,44,0,1
345,17,0,24090,0,9,0,1,0,0,1,0,0,35,0,0
346,36,1,102729,3,12,1,3,4,0,0,0,0,70,0,0
347,33,0,91666,10,8,2,1,2,0,0,0,0,40,0,0
348,27,0,215873,0,9,0,6,0,1,0,0,0,40,0,0
349,32,0,152109,0,9,1,2,4,0,0,0,0,48,0,0
350,24,0,175586,0,9,0,6,3,1,1,0,0,40,0,0
351,37,0,232614,0,9,2,4,3,1,1,0,0,30,0,0
352,53,3,229465,2,16,1,3,4,0,0,0,0,50,0,1
353,44,0,147110,6,10,2,0,0,0,0,14344,0,40,0,1
354,43,4,161240,0,9,1,9,4,0,0,0,0,45,0,1
355,29,0,358124,0,9,0,4,5,1,1,0,0,52,0,0
356,47,0,222529,1,13,1,10,4,0,0,0,0,65,0,0
357,37,5,338320,4,14,0,1,2,0,0,0,0,60,0,0
358,43,1,62026,5,15,1,1,4,0,0,99999,0,40,0,1
359,23,0,263886,6,10,0,8,2,1,1,0,0,20,0,0
360,50,0,310774,1,13,1,8,4,0,0,0,0,35,0,0
361,25,0,98155,6,10,0,3,0,0,0,0,0,40,0,0
362,40,0,259307,6,10,0,1,2,0,0,0,0,50,0,0
363,39,0,358753,8,11,1,2,4,0,0,7688,0,40,0,1
364,41,0,29762,0,9,1,2,4,0,0,0,0,52,0,1
365,32,0,202729,0,9,1,11,0,0,0,0,0,40,0,0
366,19,0,28790,6,10,0,4,2,0,1,0,0,40,0,0
367,26,0,53209,0,9,0,4,0,0,0,0,0,40,0,0
368,30,4,169020,1,13,1,3,4,0,0,0,0,40,0,0
369,34,0,127195,6,10,1,1,4,0,0,0,0,40,0,0
370,41,0,211731,6,10,0,0,2,0,1,0,0,40,1,0
371,42,5,126614,1,13,2,1,2,2,0,0,0,30,17,0
372,45,0,259463,8,11,1,3,4,0,0,0,0,40,0,1
373,22,0,228411,6,10,0,1,2,0,0,0,0,35,0,0
374,25,0,117827,6,10,1,0,4,0,0,0,0,40,0,0
375,22,6,57216,6,10,0,0,0,1,0,0,0,20,0,0
376,46,3,250821,5,15,1,1,4,0,0,15024,0,40,0,1
377,48,1,88564,6,10,2,10,2,0,0,0,0,45,0,0
378,45,0,172822,0,9,1,6,4,0,0,0,0,52,0,1
379,19,0,251579,6,10,0,4,0,0,0,0,0,14,0,0
380,31,0,118399,11,7,1,6,4,0,0,0,0,40,0,0
381,30,1,178383,6,10,1,2,4,1,0,0,0,70,0,0
382,40,5,170866,3,12,1,10,4,0,0,0,0,50,0,1
383,60,2,268954,6,10,1,2,4,0,0,0,0,12,0,1
384,52,2,89951,10,8,1,2,1,1,1,0,0,40,0,1
385,22,0,203894,6,10,0,8,0,0,1,0,0,15,0,0
386,25,0,237065,6,10,2,4,0,1,0,0,0,38,0,0
387,51,4,108435,4,14,1,3,4,0,0,0,0,80,0,1
388,32,0,93213,3,12,1,6,4,0,0,0,0,62,0,0
389,51,1,231230,1,13,1,1,4,0,0,0,0,25,0,0
390,42,0,386175,6,10,2,8,2,0,0,0,0,50,0,1
391,39,0,128392,0,9,1,6,4,0,0,0,1887,40,0,1
392,24,0,223515,0,9,1,2,4,0,0,0,0,45,0,0
393,52,0,208630,0,9,2,0,3,0,1,0,1741,38,0,0
394,58,2,97969,13,2,5,2,3,3,0,0,0,40,0,0
395,43,0,174295,4,14,1,3,4,0,0,0,0,55,0,0
396,31,0,60229,0,9,1,6,4,0,0,0,0,40,0,0
397,28,0,66095,0,9,1,8,4,0,0,0,0,40,0,0
398,31,6,130057,4,14,1,1,4,0,0,7688,0,60,0,1
399,61,0,179743,0,9,1,2,4,0,0,0,2051,20,0,0
400,26,0,192022,1,13,0,3,0,0,1,0,0,40,0,0
401,46,0,45288,1,13,0,4,2,0,0,0,0,40,0,0
402,62,2,178764,0,9,1,2,4,0,0,0,0,40,0,1
403,50,0,99476,4,14,2,3,2,0,1,0,0,35,0,0
404,18,0,41973,11,7,0,0,0,0,1,0,0,5,0,0
405,23,0,162228,1,13,0,8,2,0,0,0,0,48,0,0
406,21,0,211968,6,10,0,8,0,0,1,0,1762,28,0,0
407,46,0,211226,3,12,1,11,4,2,0,0,0,36,0,0
408,38,0,33397,0,9,2,8,3,0,1,0,0,40,0,0
409,53,0,120839,10,8,2,10,0,0,0,0,0,40,0,0
410,53,0,36327,0,9,1,8,4,0,0,0,0,40,0,1
411,50,0,139703,6,10,1,2,4,0,0,0,0,40,0,1
412,26,0,107827,0,9,0,4,3,0,0,0,0,25,0,0
413,46,4,140219,4,14,2,3,2,0,1,8614,0,55,0,1
414,44,4,203761,1,13,1,3,4,0,0,0,0,40,0,1
